customerid,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,cluster
388,57,Female,55,12,4,26,Basic,Monthly,265,8,1,0
398,36,Female,28,24,2,24,Premium,Quarterly,136,1,1,2
399,57,Male,57,7,5,26,Premium,Annual,699,26,1,1
409,40,Female,49,5,6,21,Standard,Monthly,292,14,1,2
415,33,Female,16,4,5,21,Premium,Annual,233,21,1,1
419,31,Male,34,1,9,24,Premium,Annual,190,16,1,1
424,36,Male,24,22,5,25,Standard,Annual,665,20,1,1
426,46,Female,43,3,6,19,Basic,Monthly,165,23,1,0
428,42,Female,52,5,6,30,Standard,Quarterly,271,29,1,2
431,19,Female,58,15,9,17,Basic,Monthly,317,2,1,0
437,57,Female,34,1,5,20,Premium,Monthly,790,10,1,2
449,59,Female,44,6,10,26,Standard,Monthly,291,15,1,2
452,29,Male,49,25,10,24,Premium,Monthly,865,23,1,2
457,30,Male,53,7,9,20,Standard,Annual,307,8,1,1
459,33,Female,55,15,8,30,Basic,Annual,611,16,1,1
463,30,Male,58,5,7,22,Premium,Quarterly,848,6,1,2
467,58,Female,38,6,9,29,Standard,Annual,284,29,1,1
475,23,Male,32,1,6,27,Standard,Quarterly,336,25,1,1
479,26,Female,59,8,4,26,Basic,Monthly,409,20,1,0
486,25,Female,24,17,6,22,Standard,Annual,489,12,1,1
497,26,Female,44,15,1,24,Standard,Quarterly,109,5,1,2
500,36,Female,34,24,8,30,Standard,Quarterly,948,30,1,2
513,59,Female,45,14,7,16,Premium,Monthly,440,7,1,2
517,39,Female,48,1,8,16,Premium,Quarterly,317,12,1,2
521,46,Female,29,2,8,21,Basic,Annual,344,17,1,1
522,54,Male,9,1,4,2,Standard,Annual,590,26,1,1
524,27,Female,56,8,0,23,Basic,Monthly,833,11,1,0
530,30,Male,11,1,5,6,Standard,Annual,373,23,1,1
547,51,Female,20,2,6,8,Standard,Annual,230,23,1,1
555,30,Male,33,14,7,30,Standard,Annual,482,24,1,1
557,24,Male,43,2,1,7,Premium,Annual,186,11,1,1
558,58,Female,16,6,8,22,Basic,Monthly,845,8,1,0
560,28,Female,38,9,5,23,Basic,Monthly,885,16,1,0
561,27,Female,55,11,6,24,Standard,Annual,993,18,1,1
562,41,Female,38,23,8,21,Standard,Quarterly,569,7,1,2
564,25,Male,44,4,9,25,Standard,Monthly,293,1,1,0
577,35,Female,44,3,2,30,Standard,Monthly,748,20,1,2
581,54,Female,22,8,1,23,Premium,Monthly,554,28,1,2
585,53,Female,58,3,8,18,Basic,Quarterly,634,11,1,0
587,63,Male,39,21,8,17,Standard,Quarterly,821,24,1,1
592,55,Male,33,24,10,19,Premium,Annual,282,29,1,1
599,47,Female,46,12,4,25,Standard,Quarterly,330,8,1,2
604,38,Female,58,7,4,29,Premium,Monthly,379,9,1,2
608,45,Male,51,25,9,30,Standard,Annual,267,15,1,1
610,53,Female,15,21,5,24,Basic,Quarterly,495,8,1,0
611,42,Female,42,4,7,26,Basic,Monthly,416,22,1,0
613,43,Male,33,26,6,23,Premium,Annual,196,5,1,1
624,59,Female,51,1,6,26,Basic,Monthly,363,18,1,0
630,24,Male,44,12,9,28,Premium,Annual,935,9,1,1
631,46,Male,30,26,8,25,Premium,Monthly,338,21,1,2
635,22,Female,49,29,5,19,Standard,Annual,221,23,1,1
637,57,Male,30,3,8,3,Basic,Monthly,652,16,1,0
639,22,Male,51,14,8,23,Standard,Annual,559,30,1,1
640,47,Male,38,3,8,30,Basic,Quarterly,973,20,1,0
646,55,Male,44,3,9,25,Premium,Annual,431,7,1,1
647,60,Female,26,4,5,25,Standard,Annual,935,6,1,1
649,50,Male,27,25,5,17,Basic,Quarterly,181,21,1,0
650,61,Female,32,20,7,26,Basic,Quarterly,908,3,1,0
657,51,Female,35,9,10,19,Basic,Monthly,686,24,1,0
663,29,Male,37,12,7,22,Standard,Monthly,369,23,1,0
669,24,Female,47,13,2,28,Premium,Monthly,833,13,1,2
670,59,Male,13,2,9,4,Standard,Quarterly,758,23,1,1
671,33,Male,28,6,6,19,Standard,Monthly,340,15,1,0
681,28,Male,49,15,6,16,Premium,Annual,796,1,1,1
687,63,Female,37,27,5,30,Premium,Monthly,882,2,1,2
697,44,Male,27,9,7,27,Basic,Quarterly,462,22,1,0
701,31,Female,6,6,5,29,Premium,Annual,187,18,1,1
707,44,Female,29,10,9,28,Basic,Monthly,827,23,1,0
712,30,Female,51,29,7,26,Premium,Quarterly,867,11,1,2
715,41,Female,42,28,7,19,Basic,Quarterly,109,24,1,0
722,33,Female,38,5,5,29,Basic,Monthly,211,18,1,0
728,56,Female,41,7,4,30,Premium,Quarterly,473,19,1,2
733,25,Female,38,20,10,18,Basic,Quarterly,467,27,1,0
750,25,Female,16,24,4,27,Standard,Monthly,788,10,1,2
758,34,Female,51,17,5,25,Premium,Quarterly,751,5,1,2
768,46,Female,58,8,9,21,Basic,Monthly,675,7,1,0
770,22,Male,24,14,6,24,Standard,Annual,150,3,1,1
772,53,Female,24,15,8,17,Basic,Annual,428,17,1,1
776,33,Male,26,13,6,24,Premium,Quarterly,415,14,1,2
777,56,Male,37,26,9,21,Standard,Annual,494,25,1,1
783,45,Female,58,5,8,24,Premium,Annual,660,16,1,1
788,24,Male,42,14,6,22,Standard,Quarterly,820,13,1,1
790,44,Male,31,12,5,24,Standard,Monthly,578,4,1,0
792,38,Female,60,12,1,23,Basic,Quarterly,358,16,1,0
793,54,Male,54,2,7,0,Basic,Annual,231,29,1,1
795,55,Female,56,22,5,24,Premium,Quarterly,183,29,1,2
805,55,Male,1,4,7,1,Standard,Monthly,919,5,1,0
809,48,Female,51,9,7,25,Standard,Quarterly,999,2,1,2
813,65,Female,32,29,8,18,Premium,Annual,679,4,1,1
817,59,Female,1,3,9,22,Basic,Quarterly,376,22,1,0
819,54,Female,43,12,2,22,Premium,Quarterly,216,2,1,2
822,48,Male,42,20,6,29,Basic,Quarterly,636,26,1,0
827,39,Female,24,9,5,20,Premium,Quarterly,111,24,1,2
828,63,Female,8,5,7,10,Premium,Monthly,772,16,1,2
833,62,Female,60,1,1,13,Basic,Annual,222,11,1,1
838,23,Female,34,29,0,26,Premium,Monthly,805,12,1,2
841,52,Male,13,2,6,13,Standard,Quarterly,374,15,1,1
848,52,Female,23,1,6,9,Standard,Annual,538,10,1,1
856,26,Male,30,30,9,22,Basic,Monthly,971,5,1,0
857,31,Female,7,23,9,26,Basic,Monthly,970,11,1,0
861,33,Female,47,9,2,26,Standard,Quarterly,454,6,1,2
864,61,Female,36,21,10,24,Standard,Monthly,925,3,1,2
867,43,Female,54,23,6,19,Basic,Quarterly,764,7,1,0
869,34,Female,15,26,6,25,Premium,Annual,284,12,1,1
872,53,Male,59,2,5,10,Premium,Annual,778,13,1,1
873,27,Male,37,8,8,21,Premium,Monthly,388,23,1,2
874,36,Male,36,23,9,25,Standard,Quarterly,654,16,1,1
879,26,Female,35,29,7,18,Basic,Annual,835,2,1,1
880,45,Female,1,21,9,29,Standard,Monthly,737,19,1,2
881,27,Female,13,10,4,30,Premium,Annual,499,15,1,1
884,52,Female,5,17,0,26,Basic,Monthly,447,15,1,0
886,56,Female,59,2,10,19,Premium,Annual,846,21,1,1
887,62,Female,56,4,5,5,Premium,Monthly,913,7,1,2
894,51,Male,25,11,7,16,Standard,Quarterly,760,6,1,1
895,42,Female,12,28,1,22,Premium,Annual,174,7,1,1
903,62,Female,47,12,10,19,Basic,Annual,213,11,1,1
908,54,Male,2,2,3,26,Basic,Quarterly,798,7,1,0
912,46,Male,26,13,8,21,Standard,Annual,662,2,1,1
919,57,Female,57,3,8,3,Standard,Quarterly,258,11,1,2
922,23,Female,28,1,8,29,Basic,Annual,297,30,1,1
923,29,Female,19,27,9,27,Basic,Monthly,435,22,1,0
927,29,Male,26,4,6,21,Basic,Quarterly,528,8,1,0
931,57,Female,24,23,4,25,Standard,Monthly,509,2,1,2
933,22,Male,46,9,8,27,Premium,Monthly,228,21,1,2
942,65,Male,40,29,5,21,Standard,Quarterly,476,13,1,1
946,25,Male,59,11,6,23,Basic,Quarterly,418,4,1,0
949,61,Female,23,7,3,26,Basic,Monthly,914,2,1,0
954,30,Male,38,13,6,22,Premium,Annual,650,13,1,1
955,32,Female,45,3,7,19,Premium,Annual,551,22,1,1
958,62,Female,44,20,9,24,Basic,Quarterly,863,1,1,0
961,30,Female,21,12,8,23,Standard,Monthly,408,10,1,2
963,55,Female,44,9,9,30,Standard,Quarterly,751,22,1,2
967,60,Female,33,18,0,22,Basic,Quarterly,497,5,1,0
973,27,Male,42,2,6,26,Premium,Quarterly,373,23,1,2
974,29,Female,55,1,10,21,Basic,Monthly,189,28,1,0
978,60,Female,10,1,9,1,Standard,Annual,931,13,1,1
980,38,Male,44,4,8,19,Standard,Annual,461,19,1,1
982,51,Female,34,5,6,5,Standard,Annual,738,8,1,1
992,44,Male,60,23,9,24,Standard,Annual,908,2,1,1
996,32,Male,39,26,8,20,Premium,Monthly,344,3,1,2
998,51,Female,33,5,6,5,Standard,Quarterly,850,6,1,2
1009,47,Female,31,26,9,28,Premium,Annual,465,8,1,1
1010,49,Male,32,11,8,30,Premium,Monthly,492,19,1,2
1012,54,Female,24,19,8,22,Premium,Monthly,139,23,1,2
1015,56,Female,42,24,0,21,Basic,Monthly,675,3,1,0
1018,38,Female,36,11,4,21,Standard,Monthly,714,8,1,2
1020,21,Male,26,10,7,28,Premium,Annual,856,20,1,1
1021,54,Female,1,1,8,14,Basic,Monthly,422,5,1,0
1025,64,Female,22,1,6,25,Standard,Annual,326,7,1,1
1040,59,Female,50,20,9,24,Premium,Monthly,377,20,1,2
1041,45,Female,37,1,10,30,Basic,Quarterly,997,20,1,0
1042,27,Female,58,4,3,29,Basic,Monthly,168,26,1,0
1046,36,Female,41,6,4,22,Standard,Annual,179,5,1,1
1050,50,Female,32,19,5,16,Basic,Quarterly,147,4,1,0
1051,44,Female,34,29,7,16,Standard,Annual,328,30,1,1
1053,41,Male,55,5,8,19,Standard,Annual,861,4,1,1
1056,45,Female,34,22,7,24,Standard,Quarterly,930,25,1,2
1058,23,Male,30,5,5,24,Basic,Monthly,863,15,1,0
1061,19,Female,11,3,7,27,Basic,Monthly,716,24,1,0
1064,27,Female,34,18,6,30,Premium,Monthly,797,28,1,2
1066,29,Female,50,7,10,16,Basic,Annual,362,20,1,1
1068,62,Male,27,13,8,17,Premium,Quarterly,313,13,1,2
1070,54,Male,53,10,7,25,Premium,Monthly,405,17,1,2
1072,36,Female,53,9,8,25,Premium,Monthly,900,8,1,2
1077,64,Male,31,15,8,16,Standard,Monthly,691,19,1,0
1079,29,Female,27,16,9,25,Standard,Annual,419,11,1,1
1082,47,Female,54,17,3,22,Standard,Monthly,162,14,1,2
1089,35,Male,52,9,6,26,Basic,Quarterly,936,18,1,0
1092,25,Male,32,20,10,16,Standard,Monthly,872,15,1,0
1097,22,Female,7,30,6,24,Standard,Annual,106,15,1,1
1101,43,Female,5,2,7,9,Standard,Annual,579,5,1,1
1102,22,Female,11,10,2,25,Basic,Quarterly,471,8,1,0
1103,36,Female,37,15,7,18,Premium,Annual,144,22,1,1
1104,47,Female,39,21,9,18,Premium,Quarterly,796,29,1,2
1111,44,Female,20,24,4,29,Standard,Quarterly,273,1,1,2
1119,43,Male,34,6,6,24,Standard,Quarterly,798,30,1,1
1122,45,Male,53,20,8,24,Standard,Annual,783,3,1,1
1125,32,Male,48,1,9,1,Basic,Annual,150,9,1,1
1131,62,Female,13,3,7,14,Premium,Monthly,266,24,1,2
1135,46,Female,45,16,10,23,Basic,Annual,558,2,1,1
1141,57,Male,26,25,8,22,Basic,Monthly,194,9,1,0
1147,37,Male,11,2,9,20,Premium,Annual,185,11,1,1
1148,43,Male,40,8,5,28,Standard,Annual,215,12,1,1
1159,43,Female,4,19,0,25,Standard,Monthly,994,11,1,2
1162,43,Male,37,17,7,28,Premium,Annual,996,20,1,1
1164,37,Female,59,2,8,24,Standard,Annual,141,14,1,1
1170,28,Male,33,21,10,24,Standard,Quarterly,415,10,1,1
1174,53,Female,39,1,5,21,Basic,Annual,788,2,1,1
1177,53,Male,53,27,5,16,Basic,Annual,133,18,1,1
1179,48,Male,54,29,5,27,Premium,Monthly,476,22,1,2
1184,53,Female,13,25,6,30,Basic,Monthly,449,7,1,0
1198,65,Female,43,3,6,17,Standard,Quarterly,610,15,1,2
1204,44,Female,38,22,5,30,Basic,Quarterly,296,1,1,0
1206,23,Female,29,13,5,19,Standard,Monthly,532,5,1,2
1207,53,Male,7,5,7,5,Premium,Annual,838,26,1,1
1210,65,Female,47,27,8,24,Premium,Monthly,548,14,1,2
1212,37,Female,50,12,2,29,Standard,Monthly,198,24,1,2
1220,36,Female,60,25,2,21,Premium,Monthly,698,29,1,2
1225,21,Male,30,18,5,25,Standard,Annual,717,14,1,1
1232,50,Female,30,16,9,27,Standard,Annual,657,15,1,1
1237,27,Male,40,19,8,25,Basic,Annual,467,24,1,1
1242,63,Female,55,1,10,9,Premium,Monthly,321,5,1,2
1246,35,Female,19,12,0,30,Standard,Quarterly,233,10,1,2
1249,23,Male,48,23,10,21,Premium,Quarterly,224,15,1,2
1252,31,Female,48,9,7,20,Basic,Monthly,874,2,1,0
1256,31,Male,42,2,6,24,Premium,Annual,178,11,1,1
1262,38,Female,58,16,0,29,Standard,Quarterly,219,16,1,2
1264,27,Male,54,25,7,21,Premium,Monthly,562,24,1,2
1268,41,Male,18,1,9,12,Premium,Annual,255,30,1,1
1271,35,Female,30,9,8,20,Basic,Monthly,494,29,1,0
1276,29,Female,35,3,0,25,Premium,Monthly,853,9,1,2
1277,38,Male,52,13,7,19,Premium,Monthly,473,27,1,2
1282,63,Female,7,30,7,27,Premium,Monthly,488,24,1,2
1284,65,Male,32,5,4,18,Standard,Annual,985,19,1,1
1285,63,Male,47,4,7,21,Standard,Quarterly,181,2,1,1
1302,42,Male,3,2,3,11,Basic,Annual,904,26,1,1
1307,47,Male,58,27,7,26,Basic,Monthly,798,24,1,0
1309,18,Male,59,25,10,22,Premium,Monthly,819,4,1,2
1315,57,Female,50,18,4,24,Premium,Quarterly,179,17,1,2
1318,25,Female,35,17,9,20,Standard,Quarterly,353,19,1,2
1323,39,Male,5,2,3,24,Basic,Monthly,397,26,1,0
1324,28,Female,43,29,7,29,Standard,Annual,861,12,1,1
1326,26,Female,50,22,5,16,Premium,Annual,572,10,1,1
1329,24,Female,51,20,2,22,Basic,Monthly,304,6,1,0
1335,61,Female,1,22,5,27,Premium,Monthly,849,24,1,2
1340,28,Male,46,28,5,19,Premium,Annual,742,16,1,1
1346,38,Female,54,10,7,19,Standard,Annual,363,2,1,1
1350,53,Male,34,4,4,18,Standard,Quarterly,431,18,1,1
1354,25,Male,24,16,6,24,Premium,Quarterly,307,27,1,2
1358,23,Male,42,28,9,27,Standard,Monthly,807,27,1,0
1359,24,Female,36,5,9,19,Premium,Annual,376,6,1,1
1361,34,Female,27,12,8,26,Premium,Annual,641,25,1,1
1363,56,Female,34,14,9,22,Premium,Monthly,269,17,1,2
1365,50,Female,30,5,0,22,Standard,Monthly,321,17,1,2
1370,25,Male,12,2,7,19,Basic,Annual,297,7,1,1
1372,27,Male,28,10,7,18,Basic,Quarterly,452,24,1,0
1384,46,Female,36,27,10,26,Standard,Monthly,746,1,1,2
1393,55,Male,22,1,10,16,Basic,Annual,832,22,1,1
1394,58,Female,42,29,7,29,Standard,Quarterly,433,2,1,2
1399,53,Male,19,4,5,25,Basic,Quarterly,440,10,1,0
1404,30,Female,60,28,1,30,Basic,Monthly,881,15,1,0
1406,42,Male,51,2,8,22,Standard,Annual,736,14,1,1
1416,20,Female,47,23,5,18,Standard,Quarterly,592,8,1,2
1422,32,Female,25,10,9,27,Basic,Quarterly,368,27,1,0
1426,44,Female,10,27,2,21,Standard,Monthly,756,27,1,2
1431,38,Female,21,12,6,21,Standard,Monthly,903,19,1,2
1439,44,Female,27,8,8,30,Standard,Annual,883,25,1,1
1446,52,Male,29,2,5,25,Premium,Quarterly,769,24,1,2
1448,53,Male,46,28,10,23,Basic,Monthly,995,10,1,0
1451,50,Male,31,24,5,17,Premium,Monthly,267,10,1,2
1457,19,Female,55,13,7,16,Standard,Annual,499,22,1,1
1460,32,Male,11,2,10,10,Standard,Annual,531,25,1,1
1461,60,Male,1,4,10,26,Basic,Quarterly,769,22,1,0
1463,27,Male,25,29,9,24,Premium,Monthly,693,4,1,2
1464,50,Male,27,26,5,25,Basic,Monthly,142,11,1,0
1468,23,Female,34,9,9,29,Basic,Quarterly,670,13,1,0
1471,35,Female,25,27,7,27,Standard,Quarterly,293,11,1,2
1477,57,Male,33,4,6,2,Premium,Annual,728,7,1,1
1478,52,Female,34,9,5,16,Premium,Quarterly,158,22,1,2
1480,55,Male,23,3,10,1,Standard,Monthly,878,22,1,0
1484,65,Male,50,6,6,17,Premium,Quarterly,547,27,1,2
1486,60,Female,44,5,9,26,Premium,Annual,410,7,1,1
1487,58,Male,49,28,7,28,Standard,Annual,221,2,1,1
1488,45,Female,34,5,8,21,Standard,Monthly,961,9,1,2
1489,61,Female,44,4,7,6,Standard,Quarterly,685,7,1,2
1494,54,Female,24,29,1,21,Basic,Monthly,686,17,1,0
1500,57,Male,37,10,10,27,Premium,Quarterly,229,15,1,2
1502,49,Male,56,24,8,19,Basic,Quarterly,933,21,1,0
1506,40,Female,57,17,10,22,Standard,Annual,139,5,1,1
1512,54,Female,46,26,0,29,Basic,Annual,424,23,1,1
1515,23,Male,49,30,9,22,Standard,Annual,787,16,1,1
1517,33,Female,3,10,2,30,Premium,Annual,480,20,1,1
1518,29,Female,13,25,4,29,Premium,Monthly,608,14,1,2
1520,60,Female,22,5,6,24,Premium,Monthly,290,25,1,2
1525,48,Female,46,22,6,21,Premium,Annual,766,27,1,1
1533,40,Male,35,11,8,16,Premium,Annual,191,26,1,1
1541,24,Male,55,13,7,18,Premium,Quarterly,177,13,1,2
1544,25,Male,57,8,5,23,Basic,Annual,206,18,1,1
1545,23,Female,31,21,5,24,Standard,Quarterly,152,7,1,2
1548,39,Female,34,9,0,24,Premium,Quarterly,419,8,1,2
1550,38,Male,32,11,6,16,Premium,Monthly,918,14,1,2
1556,60,Female,33,3,4,3,Basic,Quarterly,798,7,1,0
1557,30,Female,2,28,1,26,Basic,Quarterly,364,18,1,0
1559,48,Female,48,15,8,22,Premium,Monthly,863,6,1,2
1562,40,Male,51,20,7,29,Premium,Annual,650,5,1,1
1569,60,Female,16,25,10,29,Basic,Monthly,875,9,1,0
1570,38,Male,29,20,10,22,Basic,Annual,418,18,1,1
1582,30,Female,28,14,7,19,Premium,Annual,421,20,1,1
1583,54,Male,59,5,9,22,Standard,Quarterly,382,25,1,1
1587,59,Male,25,14,9,25,Premium,Annual,476,17,1,1
1591,61,Female,26,7,6,25,Basic,Quarterly,878,10,1,0
1596,62,Male,59,30,6,22,Premium,Monthly,136,16,1,2
1605,44,Female,31,21,6,20,Basic,Monthly,593,19,1,0
1613,48,Female,52,5,7,28,Premium,Monthly,696,1,1,2
1615,35,Male,24,15,7,25,Standard,Quarterly,141,29,1,1
1617,37,Male,50,16,5,23,Premium,Annual,358,14,1,1
1618,19,Female,6,12,8,24,Standard,Monthly,845,23,1,2
1619,31,Male,44,13,10,22,Basic,Monthly,554,14,1,0
1630,37,Female,48,27,8,26,Premium,Monthly,544,29,1,2
1631,43,Female,43,25,3,25,Standard,Monthly,387,2,1,2
1637,55,Male,26,2,4,15,Basic,Quarterly,993,27,1,0
1640,38,Female,44,4,9,29,Basic,Quarterly,573,16,1,0
1641,62,Male,27,20,9,19,Premium,Monthly,252,5,1,2
1643,49,Female,7,18,0,25,Standard,Monthly,534,20,1,2
1644,58,Male,60,27,7,19,Premium,Monthly,940,8,1,2
1652,23,Female,11,18,2,25,Standard,Monthly,449,12,1,2
1661,23,Male,55,18,10,22,Premium,Monthly,287,18,1,2
1662,48,Female,12,7,5,24,Premium,Quarterly,238,5,1,2
1667,62,Female,50,14,9,29,Premium,Annual,668,3,1,1
1679,33,Female,1,14,0,30,Standard,Monthly,194,15,1,2
1682,52,Female,36,2,9,1,Premium,Annual,108,28,1,1
1691,65,Female,54,13,8,28,Basic,Monthly,760,30,1,0
1693,33,Male,34,28,9,19,Standard,Annual,930,19,1,1
1695,47,Female,17,29,5,21,Basic,Quarterly,207,5,1,0
1697,54,Male,49,14,10,23,Standard,Quarterly,935,17,1,1
1706,48,Female,5,28,0,29,Basic,Monthly,215,14,1,0
1709,41,Male,48,9,7,28,Standard,Monthly,926,12,1,0
1710,51,Female,56,18,10,25,Basic,Annual,663,20,1,1
1712,59,Female,26,3,6,27,Standard,Annual,121,27,1,1
1716,61,Male,25,9,10,29,Standard,Monthly,615,12,1,0
1717,37,Male,59,5,5,18,Basic,Annual,876,30,1,1
1718,52,Female,59,27,7,25,Standard,Quarterly,801,5,1,2
1721,44,Female,46,26,9,30,Premium,Annual,721,3,1,1
1726,65,Female,17,6,10,30,Standard,Monthly,451,10,1,2
1730,31,Female,3,22,8,28,Basic,Monthly,845,27,1,0
1733,60,Female,15,25,7,24,Premium,Monthly,782,1,1,2
1743,21,Male,51,26,10,22,Premium,Quarterly,868,17,1,2
